id,match_id,player_id,player,team_id,position,time,goals,own_goals,shots,assists,key_passes,xg,xa,xg_chain,xg_buildup
772183,29041,7702,Dean Henderson,78,GK,90,0,0,0,0,0,0.0,0.0,0.0,0.0
772186,29041,13091,Jaydee Canvot,78,DC,90,0,0,1,0,0,0.6156824827194214,0.0,0.367362916469574,0.367362916469574
772184,29041,11167,Chadi Riad,78,DC,75,0,0,1,0,0,0.009478536434471607,0.0,0.08212043344974518,0.08212043344974518
772185,29041,8430,Chris Richards,78,DC,90,0,0,1,0,0,0.05927615985274315,0.0,0.015941880643367767,0.015941880643367767
772187,29041,12408,Daniel Muñoz,78,DMR,90,0,0,0,0,0,0.0,0.0,0.3514210283756256,0.3514210283756256
772188,29041,8214,Tyrick Mitchell,78,DML,90,0,0,1,1,1,0.06357406079769135,0.3514210283756256,0.41499507427215576,0.3514210283756256
772189,29041,12409,Adam Wharton,78,MC,90,0,0,1,0,2,0.04451354593038559,0.06297393143177032,0.5805789828300476,0.5805789828300476
772190,29041,6104,Will Hughes,78,MC,49,0,0,0,0,1,0.0,0.06617855280637741,0.08212043344974518,0.015941880643367767
772192,29041,9024,Yeremi Pino,78,AMC,80,0,0,3,0,1,0.3508397936820984,0.40084609389305115,0.29533651471138,0.08212043344974518
772191,29041,5675,Ismaila Sarr,78,AMC,90,0,0,2,0,0,0.4167879819869995,0.0,0.015941880643367767,0.0
772193,29041,11070,Jørgen Strand Larsen,78,FW,90,0,0,1,0,1,0.06617855280637741,0.015941880643367767,0.08212043344974518,0.0
772195,29041,6145,Daichi Kamada,78,Sub,41,0,0,1,0,1,0.0723581314086914,0.6156824827194214,0.0,0.0
772196,29041,10760,Brennan Johnson,78,Sub,10,0,0,1,0,1,0.03002733737230301,0.05927615985274315,0.03002733737230301,0.0
772194,29041,8006,Evann Guessand,78,Sub,15,1,0,1,0,0,0.3514210283756256,0.0,0.3514210283756256,0.0
772197,29041,9740,José Sá,229,GK,90,0,0,0,0,0,0.0,0.0,0.06002147123217583,0.06002147123217583
772198,29041,9958,Yerson Mosquera,229,DC,90,0,0,1,0,0,0.061891306191682816,0.0,0.016358675435185432,0.016358675435185432
772199,29041,12721,Ladislav Krejcí,229,DC,64,0,0,0,0,0,0.0,0.0,0.06002147123217583,0.06002147123217583
772200,29041,10945,Santiago Bueno,229,DC,90,0,0,1,0,0,0.015956755727529526,0.0,0.09233690053224564,0.07638014853000641
772201,29041,12113,Jackson Tchatchoua,229,DMR,90,0,0,0,0,1,0.0,0.021295130252838135,0.037653807550668716,0.016358675435185432
772202,29041,10140,Hugo Bueno,229,DML,90,0,0,0,0,4,0.0,0.5938844084739685,0.10168194770812988,0.08572519570589066
772203,29041,13022,André,229,MC,90,0,0,1,0,0,0.04325713589787483,0.0,0.059615809470415115,0.016358675435185432
772204,29041,7762,Jean-Ricner Bellegarde,229,MC,90,0,0,3,0,0,0.18461394309997559,0.0,0.08572519570589066,0.0
772206,29041,13484,Mateus Mané,229,AMC,90,0,0,0,0,2,0.0,0.1293879896402359,0.14534474909305573,0.015956755727529526
772205,29041,4419,Adam Armstrong,229,AMC,66,0,0,1,0,1,0.013246441259980202,0.016358675435185432,0.029605116695165634,0.0
772207,29041,8875,Tolu Arokodare,229,FW,90,0,0,5,0,0,1.358521819114685,0.0,0.08131660521030426,0.0
772209,29041,5598,Angel Gomes,229,Sub,1,0,0,0,0,0,0.0,0.0,0.015956755727529526,0.015956755727529526
772210,29041,13740,David Møller Wolfe,229,Sub,24,0,0,0,0,0,0.0,0.0,0.0,0.0
772208,29041,11384,João Gomes,229,Sub,1,0,0,0,0,0,0.0,0.0,0.0,0.0
772211,29044,8786,Stefan Ortega Moreno,249,GK,90,0,0,0,0,0,0.0,0.0,0.0,0.0
772212,29044,725,Ola Aina,249,DR,90,0,0,0,0,0,0.0,0.0,0.0,0.0
772214,29044,6174,Nikola Milenkovic,249,DC,90,0,0,2,0,0,0.04576095566153526,0.0,0.04433082789182663,0.033685486763715744
772213,29044,12123,Murillo,249,DC,90,0,0,2,0,1,0.09742280095815659,0.05200142413377762,0.10630324482917786,0.04433082789182663
772215,29044,8204,Neco Williams,249,DL,90,0,0,1,0,0,0.018023764714598656,0.0,0.062354594469070435,0.04433082789182663
772217,29044,5722,Ibrahim Sangare,249,DMC,90,0,0,2,0,1,0.055363044142723083,0.3150150179862976,0.4164336919784546,0.046055637300014496
772216,29044,9154,Elliot Anderson,249,DMC,80,0,0,4,0,2,0.12064993381500244,0.046055637300014496,0.17735090851783752,0.04433082789182663
772218,29044,10348,Omari Hutchinson,249,AMR,69,0,0,1,0,0,0.033685486763715744,0.0,0.38937461376190186,0.3556891083717346
772219,29044,6857,Morgan Gibbs-White,249,AMC,90,0,0,2,0,4,0.15119576454162598,0.051081333309412,0.2323058545589447,0.04067410156130791
772220,29044,6456,Callum Hudson-Odoi,249,AML,69,0,0,1,0,2,0.3150150179862976,0.0651443749666214,0.38937461376190186,0.04433082789182663
772221,29044,13778,Igor Jesus,249,FW,80,0,0,1,0,0,0.012370149604976177,0.0,0.046055637300014496,0.033685486763715744
772223,29044,8920,Dilane Bakwa,249,Sub,21,0,0,1,0,0,0.05200142413377762,0.0,0.05200142413377762,0.0
772226,29044,10126,James McAtee,249,Sub,1,0,0,0,0,0,0.0,0.0,0.0,0.0
772224,29044,11936,Lorenzo Lucca,249,Sub,10,0,0,0,0,1,0.0,0.036645036190748215,0.0,0.0
772222,29044,8252,Nicolás Domínguez,249,Sub,10,0,0,0,0,0,0.0,0.0,0.0,0.0
772225,29044,8662,Dan Ndoye,249,Sub,21,0,0,1,0,0,0.036645036190748215,0.0,0.0,0.0
772227,29044,1257,Alisson,87,GK,90,0,0,0,0,0,0.0,0.0,0.0,0.0
772228,29044,9788,Dominik Szoboszlai,87,DR,90,0,0,0,0,5,0.0,0.6040041446685791,1.108027696609497,0.6429147720336914
772229,29044,6326,Ibrahima Konaté,87,DC,90,0,0,0,0,1,0.0,0.025015022605657578,1.2534528970718384,1.2534528970718384
772230,29044,833,Virgil van Dijk,87,DC,90,0,0,1,0,0,0.371992826461792,0.0,0.3970078229904175,0.025015022605657578
